id,title,digest,url,author,publish_time
"50","金融*16 | 广发证券、招商证券、云锋基金、安可资本等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496313&idx=3&sn=4f52d1b2d17c9e7d6ff02aac5e0488b0&chksm=e9f92d97de8ea4814c0cec0edfd987c0ad89b390253b373f63289deceabc2862a55838d0a802&scene=27#wechat_redirect","西西","2020-04-21 08:00:00"
"51","多行业*2 | 特斯拉、Sinox等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496313&idx=4&sn=4640bf7c5b13cafebb9819932b3a1684&chksm=e9f92d97de8ea4816b98c42f6d71bf242114bc2cceed1e849157b38573efd87b7e37735b54a1&scene=27#wechat_redirect","西西","2020-04-21 08:00:00"
"52","大三还不去实习，你是要毕业=失业吗？","大一的你，才刚刚步入校园半年，就因为一场疫情，休息在家上网课，不知道什么时候开学，不知道来年什么计划，也不知","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496300&idx=1&sn=96c12e8edc9b5b0ee86598d5622b4bee&chksm=e9f92d82de8ea4948e287efaae25b3ec5710afdd8d461ac93cb2fce8d09a0927ea3d3685a058&scene=27#wechat_redirect","今日实习","2020-04-20 08:00:00"
"53","互联网*23 | 腾讯、字节跳动、网易游戏等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496300&idx=2&sn=69650dc9b7e388191b52f9a4023cb7bb&chksm=e9f92d82de8ea494a9a58dd9b854826adf36f4fdfc4381d66f8027a15d9b4cbc9c92972993fd&scene=27#wechat_redirect","Tang","2020-04-20 08:00:00"
"54","咨询*18 | 埃森哲、安永帕特农、腾讯等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496300&idx=3&sn=17f79856ba7d4b9ece8cb92658da7cb7&chksm=e9f92d82de8ea494e3a5d4895e20bf6548093d3232d27a9ae07ce10c3d10ec095eaddadacc18&scene=27#wechat_redirect","Tang","2020-04-20 08:00:00"
"55","金融*65 | 国泰君安、中金、复兴创富等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496300&idx=4&sn=7671cdce576fba76aee6b708d823b97e&chksm=e9f92d82de8ea494882fee67153cffe40ace0639bcdf162ebe823f30c4b44a9432964aa8b280&scene=27#wechat_redirect","Tang","2020-04-20 08:00:00"
"56","多行业*19 | 科锐国际、字节跳动、卡夫亨氏等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496300&idx=5&sn=e21089222c11f2f126eb88ac2bfd499c&chksm=e9f92d82de8ea494b7ceb0400d02bca0cf2bf8813b0f31365451a4b2cd800040ba511fc87bd0&scene=27#wechat_redirect","Tang","2020-04-20 08:00:00"
"57","月薪2W-3W！专业不限！腾讯、阿里、字节跳动都在大量招这类人！","高薪成长攻略，请注意查收！","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496283&idx=1&sn=0e8c20861410a292b16a2e0c24434ced&chksm=e9f92db5de8ea4a318d2f7d96378536bc2dd43f588f67a95d20759cecfef5f890c44d4aa1ecb&scene=27#wechat_redirect","","2020-04-18 12:00:00"
"58","互联网*7 | 腾讯、平安集团、滴滴出行等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496281&idx=1&sn=42576d54a87b93a16d63cfbd19b57ba1&chksm=e9f92db7de8ea4a1b8d1de6b6a1acd35571320c5b5de1ab64ec100c0d70c4051c05c2c8e7316&scene=27#wechat_redirect","Tang","2020-04-17 18:00:00"
"59","咨询*3 | 奥纬咨询、Amazon、中欧商学院等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496281&idx=2&sn=4f8eeedc12f7239f3bba40371d86de7f&chksm=e9f92db7de8ea4a1ceb9e8643d2174d53c6204dce2e21b8a051e01597f7ca8c20c7daf51d931&scene=27#wechat_redirect","Tang","2020-04-17 18:00:00"
