id,bg1,bg2,bg3,bg4,bg5,bg6,bg7,bg8,bg9,bg10,bg11,bg12,bg13,bg14,bg15
121,辉立资本（悉尼）实习——分析师助理,新格投资实习——投资经理助理,首届“大旗杯”全国外汇交易大赛优秀奖（全国第七名）,西南财经大学第十一届本科生科研创新项目A等结项,,,,,,,,,,,
122,NO BACKGROUND,,,,,,,,,,,,,,
123,NO BACKGROUND,,,,,,,,,,,,,,
124,NO BACKGROUND,,,,,,,,,,,,,,
125,辉立资本（悉尼）实习——分析师助理,新格投资实习——投资经理助理,首届“大旗杯”全国外汇交易大赛优秀奖（全国第七名）,西南财经大学第十一届本科生科研创新项目A等结项,,,,,,,,,,,
126,NO BACKGROUND,,,,,,,,,,,,,,
127,中国银行浙江省分行金融财政部外汇和贵金属交易实习,大学生创新创业计划项目-基于多重委托代理关系的P2P网贷风险及监管,华东理工大学大学生课余研究计划（usrp-基于SERVQUAL的1号店服务质量评价及实证研究,,,,,,,,,,,,
128,辉立资本（悉尼）实习——分析师助理,新格投资实习——投资经理助理,首届“大旗杯”全国外汇交易大赛优秀奖（全国第七名）,西南财经大学第十一届本科生科研创新项目A等结项,,,,,,,,,,,
129,辉立资本（悉尼）实习——分析师助理,新格投资实习——投资经理助理,首届“大旗杯”全国外汇交易大赛优秀奖（全国第七名）,西南财经大学第十一届本科生科研创新项目A等结项,,,,,,,,,,,
130,NO BACKGROUND,,,,,,,,,,,,,,
131,NO BACKGROUND,,,,,,,,,,,,,,
132,NO BACKGROUND,,,,,,,,,,,,,,
133,NO BACKGROUND,,,,,,,,,,,,,,
134,NO BACKGROUND,,,,,,,,,,,,,,
135,NO BACKGROUND,,,,,,,,,,,,,,
136,NO BACKGROUND,,,,,,,,,,,,,,
137,NO BACKGROUND,,,,,,,,,,,,,,
138,NO BACKGROUND,,,,,,,,,,,,,,
139,NO BACKGROUND,,,,,,,,,,,,,,
140,NO BACKGROUND,,,,,,,,,,,,,,
141,NO BACKGROUND,,,,,,,,,,,,,,
142,NO BACKGROUND,,,,,,,,,,,,,,
143,NO BACKGROUND,,,,,,,,,,,,,,
144,NO BACKGROUND,,,,,,,,,,,,,,
145,未明学院商业分析训练营,华泰证券实习,浦发银行实习,小型数据科技公司数据分析实习,课设若干,,,,,,,,,,
146,伯克利交流一学期,华泰证券项目实习生,全国大学生数学建模比赛上海市三等奖,对酿酒行业A股上市公司构建投资组合课程项目,,,,,,,,,,,
147,安信证券实习,汇丰环球客户服务(广东)有限公司金融实习,金融投资分析大赛,光大兴陇信托实习,,,,,,,,,,,
148,未明学院商业分析训练营,华泰证券实习,浦发银行实习,小型数据科技公司数据分析实习,课设若干,,,,,,,,,,
149,安信证券实习,汇丰环球客户服务(广东)有限公司金融实习,金融投资分析大赛,光大兴陇信托实习,,,,,,,,,,,
150,未明学院商业分析训练营,华泰证券实习,浦发银行实习,小型数据科技公司数据分析实习,课设若干,,,,,,,,,,
151,新南威尔士交流,友邦保险实习,美国大学生数学建模比赛成功参赛奖,中兴财光华事务所实习,浙江省天平杯财务案例大赛三等奖,幸福人寿保险实习,,,,,,,,,
152,安信证券实习,汇丰环球客户服务(广东)有限公司金融实习,金融投资分析大赛,光大兴陇信托实习,,,,,,,,,,,
